ZoneID,p,q
Alberta_1,9.378738087680735e-05,0.06938134277956302
Alberta_10,0.0006675140818224477,0.013029883058249486
Alberta_11,0.0003013663756204414,0.04153893658656918
Alberta_12,7.358975503344244e-05,0.07195536835635637
Alberta_13,0.00025834381832731673,1e-06
Alberta_14,0.00025834381832728583,1e-06
Alberta_15,0.00047968305509749824,0.0409861101508764
Alberta_16,0.0005256544943038404,0.030335359474661327
Alberta_2,0.00042158804037033243,0.03237785601311902
Alberta_3,5.536427983741156e-05,0.05270035743297919
Alberta_4,0.0004126764476795392,0.03290193186536526
Alberta_5,0.0002649487042475837,0.04649903341764844
Alberta_6,0.00040684129421084776,0.03852901661276595
Alberta_7,0.0006449803286757128,0.041547784579248764
Alberta_8,0.0003039681720897762,0.027203294676776086
Alberta_9,0.0004012603393796787,0.03560531469980751
BC_1,7.565086806956673e-05,0.07368740810704703
BC_10,1e-06,0.14194437281795497
BC_11,1e-06,0.14608456906035394
BC_12,1e-06,0.15116143591310316
BC_13,1e-06,0.14050595624181483
BC_14,1e-06,0.14561377704422854
BC_15,1e-06,0.13797399513798678
BC_16,1e-06,0.14429754577669796
BC_17,1e-06,0.1332309189651182
BC_2,1e-06,0.14662911408309032
BC_3,1e-06,0.14450023400515846
BC_4,1e-06,0.14202378732331136
BC_5,1e-06,0.1391111047404975
BC_6,1.2209048727134037e-06,0.13491187665555976
BC_7,1e-06,0.14351312356003845
BC_8,1e-06,0.15190409000875643
BC_9,1e-06,0.129946538444766
Manitoba_1,0.00015764561895684326,0.06647078178970295
Manitoba_2,0.00028807645317913415,0.062173037177570584
Manitoba_3,5.980250861426671e-05,0.08504240960034859
Manitoba_4,0.00013833377124765453,0.07022720837476647
Manitoba_5,0.00020815354513074085,0.04346417002730696
NovaScotia_1,2.804472069786422e-06,0.12786088730882758
NovaScotia_2,2.0465689764578223e-05,0.08489398690205625
NovaScotia_3,0.00032959245772210075,0.0650939648607488
NovaScotia_4,1e-06,0.15462205578919985
NovaScotia_5,0.00028576639229997486,0.05577114997328277
ON_1,5.631192469547324e-06,0.11600391194823549
ON_10,1e-06,0.15138177419555052
ON_11,1e-06,0.13995315349744653
ON_12,1e-06,0.1456227418860457
ON_13,1e-06,0.14109157097447336
ON_14,1.159177654253492e-06,0.13223757317179594
ON_15,1e-06,0.1433605340777225
ON_16,0.00014459548561398383,0.0740332409188746
ON_17,1e-06,0.1468380425432401
ON_18,2.8145128656855223e-06,0.12807840654384606
ON_19,6.474488972200794e-05,0.08117334869566653
ON_2,0.0002110020925808678,0.06441179717769865
ON_20,4.781798351719487e-05,0.07742971199641663
ON_21,1.1202805671753878e-05,0.10127402290515354
ON_22,1e-06,0.1490070754555262
ON_23,1e-06,0.14447746317606347
ON_24,2.607694082007972e-06,0.12431764047518803
ON_25,1e-06,0.14988641617750514
ON_26,1e-06,0.14610973931397583
ON_27,1e-06,0.16098315465630117
ON_3,1e-06,0.14342633183815767
ON_4,1e-06,0.1466125517834216
ON_5,1e-06,0.14207145260687282
ON_6,1e-06,0.14491937789113438
ON_7,1e-06,0.14623670195917624
ON_8,1e-06,0.14540416030140357
ON_9,1e-06,0.14223428033516786
QC_1,3.099723786969608e-06,0.12665685668088136
QC_10,6.064221475161411e-05,0.07630264844494122
QC_11,0.002139840224016947,0.04682374298912504
QC_12,0.00022582857249942105,0.056163543399631144
QC_13,0.0013781415455934108,0.03696398564802263
QC_14,0.0035161602301707036,0.03381126746894593
QC_15,0.0035003694200592063,0.025199595025160237
QC_16,0.002079760604787262,0.0169471533517429
QC_17,1.5657542071793322e-05,0.1125344527477635
QC_18,1e-06,0.1482733810804709
QC_19,6.559503613576818e-06,0.11163122256451423
QC_2,1.903526360844795e-05,0.11447271734762833
QC_20,1.5167387962163801e-05,0.09724447256168807
QC_3,1.0046011623146068e-05,0.10284331691511239
QC_4,0.00013969904108890872,0.05725392798872933
QC_5,2.3342552639815852e-05,0.10137062893417541
QC_6,0.0022165135947824215,0.03463220960129128
QC_7,8.299875055362546e-05,0.0803048489485957
QC_8,1.053977080075788e-06,0.14312221756249757
QC_9,0.00023939225114300922,0.06572740496579657
Saskatchewan_1,8.968513485142069e-05,0.06618519758646162
Saskatchewan_2,4.623439749170227e-05,0.07131325660454374
Saskatchewan_3,0.00030623419580741337,0.04818301029523387
Saskatchewan_4,0.00014272353536701746,0.04954981264058763
Saskatchewan_5,0.00010320392115993393,0.03844106236368331
